class,PCP_MAD,PCP_MPIJAD,PCK,PCIK,MPIJAD,MAD,Sparsity
tree_pose,1.0,1.0,0.9166666666666666,1.0,0.0877695381641388,0.04203398525714874,0.8333333333333334
warrior_1_pose,1.0,1.0,0.8333333333333334,1.0,0.06231611222028732,0.02403988502919674,0.75
warrior_1_pose,1.0,1.0,0.75,1.0,0.0,0.08073423057794571,0.75
warrior_1_pose,1.0,1.0,0.8333333333333334,1.0,0.0,0.06106363236904144,0.6666666666666666
warrior_1_pose,1.0,0.0,0.75,0.0,0.11691134423017502,0.08492177724838257,0.8333333333333334
warrior_1_pose,1.0,1.0,0.6666666666666666,1.0,0.0,0.07884154468774796,0.75
warrior_1_pose,0.0,1.0,0.5833333333333334,1.0,0.0,0.2527415454387665,0.75
warrior_1_pose,0.0,1.0,0.5,1.0,0.0,0.23101556301116943,0.6666666666666666
warrior_1_pose,0.0,0.0,0.5833333333333334,0.5,0.1365327090024948,0.14312680065631866,0.75
warrior_1_pose,0.0,1.0,0.5833333333333334,1.0,0.0,0.14018964767456055,0.75
warrior_1_pose,1.0,0.0,0.5,0.0,0.2492932230234146,0.09717907756567001,0.6666666666666666
warrior_1_pose,0.0,1.0,0.6666666666666666,0.5,0.08695583045482635,0.1475895494222641,0.8333333333333334
warrior_1_pose,1.0,0.0,0.75,0.5,0.11635670065879822,0.05430077016353607,0.75
warrior_1_pose,0.0,1.0,0.6666666666666666,0.5,0.05772619694471359,0.11451011896133423,0.8333333333333334
warrior_1_pose,0.0,0.0,0.75,0.0,0.2243989109992981,0.10391584783792496,0.75
warrior_1_pose,1.0,1.0,0.9166666666666666,1.0,0.02219410613179207,0.04521821066737175,0.8333333333333334
warrior_1_pose,1.0,1.0,0.8333333333333334,1.0,0.0,0.03272077441215515,0.75
warrior_1_pose,1.0,1.0,0.8333333333333334,1.0,0.0,0.04451910778880119,0.8333333333333334
warrior_1_pose,1.0,0.0,0.75,0.0,0.12006824463605881,0.07034818083047867,0.75
warrior_1_pose,0.0,0.0,0.5,0.0,0.22353476285934448,0.1296294927597046,0.6666666666666666
warrior_1_pose,0.0,0.0,0.5,0.0,0.1968822032213211,0.10985641926527023,0.6666666666666666
warrior_1_pose,1.0,1.0,0.8333333333333334,1.0,0.03505387902259827,0.046030689030885696,0.8333333333333334
warrior_1_pose,1.0,1.0,0.5833333333333334,1.0,0.0,0.07041522860527039,0.6666666666666666
warrior_1_pose,1.0,1.0,0.9166666666666666,1.0,0.0,0.026304446160793304,0.8333333333333334
warrior_1_pose,1.0,1.0,0.75,1.0,0.022593548521399498,0.051294755190610886,0.75
warrior_1_pose,0.0,0.0,0.5833333333333334,0.5,0.34965816140174866,0.24913819134235382,0.75
warrior_1_pose,0.0,0.0,0.6666666666666666,0.5,0.21075892448425293,0.1164606586098671,0.75
warrior_1_pose,1.0,1.0,0.5833333333333334,1.0,0.0,0.08285010606050491,0.6666666666666666
warrior_1_pose,0.0,1.0,0.4166666666666667,1.0,0.0,0.2820012867450714,0.75
warrior_1_pose,1.0,1.0,1.0,1.0,0.05867266282439232,0.014717106707394123,0.75
warrior_1_pose,0.0,1.0,0.6666666666666666,1.0,0.0,0.12371497601270676,0.8333333333333334
warrior_1_pose,1.0,0.0,0.75,0.0,0.18654441833496094,0.07119256258010864,0.75
warrior_1_pose,1.0,1.0,0.6666666666666666,0.5,0.07625477761030197,0.07956688851118088,0.75
warrior_2_pose,0.0,1.0,0.5833333333333334,1.0,0.0,0.17888522148132324,0.8333333333333334
warrior_2_pose,1.0,1.0,0.75,1.0,0.0,0.0322500504553318,0.8333333333333334
warrior_2_pose,1.0,1.0,0.8333333333333334,1.0,0.06692524254322052,0.04022783413529396,0.8333333333333334
warrior_2_pose,0.0,1.0,0.5,0.5,0.09753748774528503,0.16104410588741302,0.6666666666666666
warrior_2_pose,0.0,0.0,0.8333333333333334,0.5,0.19140705466270447,0.11551354080438614,0.8333333333333334
warrior_2_pose,1.0,1.0,0.8333333333333334,1.0,0.05461239069700241,0.03163343295454979,0.75
warrior_2_pose,0.0,1.0,0.5833333333333334,0.5,0.08222580701112747,0.11851603537797928,0.75
warrior_2_pose,1.0,1.0,1.0,1.0,0.06201770901679993,0.012654420919716358,0.75
warrior_2_pose,1.0,0.0,0.8333333333333334,0.5,0.12317077815532684,0.04843023791909218,0.75
warrior_2_pose,1.0,1.0,0.5833333333333334,0.5,0.05205749347805977,0.09851454943418503,0.75
warrior_2_pose,1.0,1.0,0.6666666666666666,0.5,0.05803874507546425,0.07799000293016434,0.8333333333333334
warrior_2_pose,1.0,1.0,0.6666666666666666,1.0,0.0,0.08078711479902267,0.75
warrior_2_pose,1.0,0.0,0.75,0.0,0.12950587272644043,0.0547187365591526,0.8333333333333334
warrior_2_pose,1.0,1.0,0.8333333333333334,1.0,0.017216242849826813,0.04548773169517517,0.75
warrior_2_pose,0.0,1.0,0.5833333333333334,1.0,0.0,0.12183592468500137,0.75
warrior_2_pose,1.0,1.0,0.8333333333333334,1.0,0.08320486545562744,0.08084256201982498,0.75
warrior_2_pose,1.0,0.0,0.75,0.0,0.14595356583595276,0.051727790385484695,0.8333333333333334
warrior_2_pose,0.0,1.0,0.5833333333333334,1.0,0.0,0.1614719033241272,0.75
warrior_2_pose,1.0,0.0,0.6666666666666666,0.5,0.10449180752038956,0.09898772090673447,0.75
warrior_2_pose,1.0,1.0,0.8333333333333334,1.0,0.0,0.034191232174634933,0.75
warrior_2_pose,1.0,1.0,0.75,1.0,0.0,0.05245792865753174,0.75
warrior_2_pose,1.0,1.0,0.75,1.0,0.0,0.04928937181830406,0.75
warrior_2_pose,1.0,0.0,0.75,0.0,0.16477647423744202,0.05578623339533806,0.8333333333333334
warrior_2_pose,1.0,1.0,0.8333333333333334,1.0,0.03513699024915695,0.047448039054870605,0.75
warrior_2_pose,0.0,1.0,0.75,1.0,0.0,0.13295432925224304,0.8333333333333334
warrior_2_pose,0.0,1.0,0.75,1.0,0.0,0.1451694220304489,0.8333333333333334
warrior_2_pose,1.0,1.0,0.9166666666666666,1.0,0.07445460557937622,0.05929693579673767,0.8333333333333334
warrior_2_pose,1.0,1.0,0.6666666666666666,1.0,0.0,0.06444493681192398,0.8333333333333334
warrior_2_pose,0.0,1.0,0.6666666666666666,1.0,0.0,0.19321294128894806,0.75
warrior_2_pose,0.0,1.0,0.5833333333333334,1.0,0.0,0.23754817247390747,0.75
warrior_2_pose,1.0,1.0,0.8333333333333334,1.0,0.0,0.040881939232349396,0.75
warrior_2_pose,0.0,1.0,0.5833333333333334,1.0,0.0,0.10601559281349182,0.75
warrior_3_pose,1.0,1.0,0.75,1.0,0.011308066546916962,0.09977928549051285,0.75
warrior_3_pose,0.0,1.0,0.75,1.0,0.02568831667304039,0.1391070932149887,0.75
warrior_3_pose,1.0,1.0,0.8333333333333334,1.0,0.026907730847597122,0.05328817293047905,0.8333333333333334
warrior_3_pose,0.0,0.0,0.8333333333333334,0.5,0.19090378284454346,0.10992136597633362,0.8333333333333334
warrior_3_pose,1.0,1.0,0.8333333333333334,1.0,0.036950986832380295,0.07301149517297745,0.8333333333333334
warrior_3_pose,0.0,1.0,0.6666666666666666,1.0,0.016805263236165047,0.12478933483362198,0.8333333333333334
warrior_3_pose,1.0,1.0,0.9166666666666666,1.0,0.01220702100545168,0.029607484117150307,0.75
